"","Date","Marino"
"578",2012-07-31,6.1
"579",2012-08-01,5.3
"580",2012-08-02,5.7
"581",2012-08-03,10.4
"582",2012-08-04,5.7
"583",2012-08-05,8.6
"584",2012-08-06,5.4
"585",2012-08-07,4.4
"586",2012-08-08,10.3
"587",2012-08-09,6.2
"588",2012-08-10,6
"589",2012-08-11,14.2
"590",2012-08-12,8.1
"591",2012-08-13,4.4
"592",2012-08-14,6
"593",2012-08-15,7.6
"594",2012-08-16,5.8
"595",2012-08-17,4
"596",2012-08-18,3.7
"597",2012-08-19,4.4
"598",2012-08-20,4.6
"599",2012-08-21,4.7
"600",2012-08-22,3.6
"601",2012-08-23,5.8
"602",2012-08-24,7.4
"603",2012-08-25,2.5
"604",2012-08-26,3.9
"605",2012-08-27,3.2
"606",2012-08-28,3.3
"607",2012-08-29,5.6
"608",2012-08-30,7.1
"609",2012-08-31,5.6
"610",2012-09-01,6
"611",2012-09-02,5.4
"612",2012-09-03,7.4
"613",2012-09-04,7.4
"614",2012-09-05,10
"615",2012-09-06,7.9
"616",2012-09-07,6.7
"617",2012-09-08,5.6
"618",2012-09-09,6.4
"619",2012-09-10,8.51839150227618
"620",2012-09-11,8.51839150227618
"621",2012-09-12,8.51839150227618
"622",2012-09-13,3.9
"623",2012-09-14,5.3
"624",2012-09-15,3.1
"625",2012-09-16,3.1
"626",2012-09-17,4.3
"627",2012-09-18,8.51839150227618
"628",2012-09-19,2.4
"629",2012-09-20,3.7
"630",2012-09-21,6.1
"631",2012-09-22,8.3
"632",2012-09-23,12.2
"633",2012-09-24,8.51839150227618
"634",2012-09-25,4
"635",2012-09-26,2.2
"636",2012-09-27,1.3
"637",2012-09-28,1.5
"638",2012-09-29,3.7
"639",2012-09-30,1.9
"640",2012-10-01,1.5
"641",2012-10-02,1
"642",2012-10-03,0.1
"643",2012-10-04,8.51839150227618
"644",2012-10-05,6.1
"645",2012-10-06,3.8
"646",2012-10-07,17.2
"647",2012-10-08,4.4
